Sep = ,
"Delimiter = ,"
AethLabs
Device ID = AE51-S2-358-1012
Application version = 2.2.4.0
Flow = 99 ml/min
Timebase = 60 s
Start date = 2020/01/23
Start time = 10:52:00
Original date format = yyyy/MM/dd
Original time format = hh:mm:ss
Flow units = ml/min
PCB temp units = deg C
Battery units = %
BC units = ng/m^3

Date,Time,Ref,Sen,ATN,Flow,PCB temp,Status,Battery,BC

2020/01/23,10:52:00,912969,864299,"5.478",99,28,0,100,
2020/01/23,10:53:00,912995,863476,"5.576",99,28,0,100,5629
2020/01/23,10:54:00,912939,862698,"5.660",99,28,0,100,4820
2020/01/23,10:55:00,912985,861972,"5.750",99,28,0,100,5119
2020/01/23,10:56:00,912957,861320,"5.822",99,28,0,100,4165
2020/01/23,10:57:00,912888,860567,"5.902",99,28,0,100,4584
2020/01/23,10:58:00,912893,858918,"6.095",99,28,0,100,11036
2020/01/23,10:59:00,912954,856789,"6.349",99,28,0,100,14622
2020/01/23,11:00:00,913013,853491,"6.742",99,28,0,100,22498
2020/01/23,11:01:00,913021,851139,"7.018",99,28,0,100,15883
2020/01/23,11:02:00,912922,846627,"7.539",99,28,0,100,29873
2020/01/23,11:03:00,913038,845345,"7.703",99,28,0,100,9423
2020/01/23,11:04:00,913002,843659,"7.899",99,28,0,100,11228
2020/01/23,11:05:00,912994,838447,"8.518",99,28,0,100,35504
2020/01/23,11:06:00,913035,835118,"8.920",99,28,0,100,23083
2020/01/23,11:07:00,913148,831865,"9.323",99,28,0,100,23102
2020/01/23,11:08:00,913053,830161,"9.517",99,28,0,100,11168
2020/01/23,11:09:00,913043,828868,"9.672",99,28,0,100,8880
2020/01/23,11:10:00,913047,827876,"9.792",99,28,0,100,6896
2020/01/23,11:11:00,913106,827063,"9.897",99,28,0,100,6008
2020/01/23,11:12:00,913121,826130,"10.012",99,28,0,100,6570
2020/01/23,11:13:00,913025,825228,"10.110",99,28,0,100,5664
2020/01/23,11:14:00,913031,824341,"10.219",99,28,0,100,6208
2020/01/23,11:15:00,913080,823611,"10.313",99,28,0,100,5391
2020/01/23,11:16:00,912965,822793,"10.399",99,29,0,100,4978
2020/01/23,11:17:00,913087,822025,"10.506",99,29,0,100,6124
2020/01/23,11:18:00,913065,821119,"10.614",99,29,0,100,6189
2020/01/23,11:19:00,912947,819737,"10.769",99,29,0,100,8923
2020/01/23,11:20:00,912946,817944,"10.988",99,29,0,100,12557
2020/01/23,11:21:00,912923,815946,"11.230",99,29,0,100,13887
2020/01/23,11:22:00,913008,815090,"11.345",99,29,0,100,6556
2020/01/23,11:23:00,912931,814223,"11.443",99,29,0,100,5622
2020/01/23,11:24:00,912868,813420,"11.534",99,29,0,100,5265
2020/01/23,11:25:00,913029,812670,"11.644",99,29,0,100,6304
2020/01/23,11:26:00,912960,811759,"11.749",99,29,0,100,6002
2020/01/23,11:27:00,912856,810918,"11.841",99,29,0,100,5294
2020/01/23,11:28:00,912858,810108,"11.941",99,29,0,100,5746
2020/01/23,11:29:00,912946,809325,"12.048",99,29,0,100,6101
2020/01/23,11:30:00,913057,808676,"12.140",99,29,0,100,5300
2020/01/23,11:31:00,913044,807167,"12.325",99,29,0,100,10634
2020/01/23,11:32:00,913034,806493,"12.408",99,29,0,100,4730
2020/01/23,11:33:00,912991,805802,"12.489",99,29,0,100,4648
2020/01/23,11:34:00,912967,805044,"12.580",99,29,0,100,5249
2020/01/23,11:35:00,913108,804563,"12.655",99,29,0,100,4315
2020/01/23,11:36:00,913024,803855,"12.734",99,29,0,100,4523
2020/01/23,11:37:00,912888,803151,"12.807",99,29,0,100,4172
2020/01/23,11:38:00,912953,802374,"12.911",99,29,0,100,5962
2020/01/23,11:39:00,912878,801551,"13.005",99,29,0,100,5417
2020/01/23,11:40:00,912917,800350,"13.160",99,29,0,100,8848
2020/01/23,11:41:00,912904,799015,"13.325",99,29,0,100,9496
2020/01/23,11:42:00,912922,796087,"13.694",99,29,0,100,21176
2020/01/23,11:43:00,912914,794748,"13.862",99,29,0,100,9608
2020/01/23,11:44:00,913019,794037,"13.963",99,29,0,100,5795
2020/01/23,11:45:00,912986,793210,"14.063",99,29,0,100,5771
2020/01/23,11:46:00,912935,791954,"14.216",99,29,0,100,8771
2020/01/23,11:47:00,912859,789717,"14.491",99,29,0,100,15751
2020/01/23,11:48:00,912983,788481,"14.661",99,29,0,100,9766
2020/01/23,11:49:00,912856,786316,"14.922",99,29,0,100,14977
2020/01/23,11:50:00,912850,784682,"15.129",99,29,0,100,11897
2020/01/23,11:51:00,912798,782194,"15.441",99,29,0,100,17894
2020/01/23,11:52:00,912904,781166,"15.584",99,29,0,100,8212
2020/01/23,11:53:00,912805,780085,"15.712",99,29,0,100,7323
2020/01/23,11:54:00,912838,778353,"15.938",99,29,0,100,12960
2020/01/23,11:55:00,912721,777483,"16.037",99,29,0,100,5681
2020/01/23,11:56:00,912710,776670,"16.140",99,29,0,100,5933
2020/01/23,11:57:00,912793,775778,"16.264",99,29,0,100,7115
2020/01/23,11:58:00,912750,774949,"16.366",99,29,0,100,5864
2020/01/23,11:59:00,912699,774269,"16.449",99,29,0,100,4716
2020/01/23,12:00:00,912696,772559,"16.669",99,29,0,100,12666
2020/01/23,12:01:00,912742,771406,"16.824",99,29,0,100,8858
2020/01/23,12:02:00,912599,769739,"17.025",99,29,0,100,11513
2020/01/23,12:03:00,912574,768551,"17.176",99,29,0,100,8705
2020/01/23,12:04:00,912656,767522,"17.319",99,29,0,100,8202
2020/01/23,12:05:00,912667,765224,"17.620",99,29,0,100,17273
2020/01/23,12:06:00,912586,762158,"18.013",99,29,0,100,22525
2020/01/23,12:07:00,912549,760724,"18.197",99,29,0,100,10572
2020/01/23,12:08:00,912616,758006,"18.562",99,29,0,100,20957
2020/01/23,12:09:00,912610,755988,"18.828",99,29,0,100,15257
2020/01/23,12:10:00,912508,752769,"19.244",99,29,0,100,23841
2020/01/23,12:11:00,912449,750694,"19.513",99,29,0,100,15466
2020/01/23,12:12:00,912497,749017,"19.742",99,29,0,100,13133
2020/01/23,12:13:00,912566,747530,"19.949",99,29,0,100,11835
2020/01/23,12:14:00,912643,745968,"20.166",99,29,0,100,12485
2020/01/23,12:15:00,912478,744337,"20.367",99,29,0,100,11521
2020/01/23,12:16:00,912582,742636,"20.607",99,29,0,100,13780
2020/01/23,12:17:00,912436,741238,"20.780",99,29,0,100,9893
2020/01/23,12:18:00,912539,740337,"20.913",99,29,0,100,7626
2020/01/23,12:19:00,912521,738986,"21.093",99,29,0,100,10366
2020/01/23,12:20:00,912469,737752,"21.255",99,29,0,100,9262
2020/01/23,12:21:00,912407,736906,"21.363",99,29,0,100,6193
2020/01/23,12:22:00,912440,735963,"21.494",99,29,0,100,7554
2020/01/23,12:23:00,912460,734423,"21.706",99,29,0,100,12144
2020/01/23,12:24:00,912413,733093,"21.882",99,29,0,100,10104
2020/01/23,12:25:00,912308,732129,"22.002",99,29,0,100,6889
2020/01/23,12:26:00,912411,731640,"22.080",99,29,0,100,4481
2020/01/23,12:27:00,912326,730115,"22.280",99,29,0,100,11437
2020/01/23,12:28:00,912354,727293,"22.670",99,29,0,100,22395
2020/01/23,12:29:00,912331,724843,"23.005",99,29,0,100,19215
2020/01/23,12:30:00,912251,723725,"23.150",99,29,0,100,8353
2020/01/23,12:31:00,912231,722796,"23.277",99,29,0,100,7244
2020/01/23,12:32:00,912284,722086,"23.381",99,29,0,100,5972
2020/01/23,12:33:00,912351,721344,"23.491",99,29,0,100,6320
2020/01/23,12:34:00,912303,720636,"23.584",99,29,0,100,5332
2020/01/23,12:35:00,912210,719920,"23.673",99,29,0,100,5118
2020/01/23,12:36:00,912386,719307,"23.777",99,29,0,100,5994
2020/01/23,12:37:00,912318,718070,"23.942",99,29,0,100,9447
2020/01/23,12:38:00,912320,715865,"24.250",99,29,0,100,17658
2020/01/23,12:39:00,912249,715066,"24.354",99,29,0,100,5961
2020/01/23,12:40:00,912198,714113,"24.482",99,30,0,100,7331
2020/01/23,12:41:00,912311,713405,"24.593",99,30,0,100,6402
2020/01/23,12:42:00,912206,712252,"24.743",99,30,0,100,8620
2020/01/23,12:43:00,912073,710796,"24.933",99,30,0,100,10904
2020/01/23,12:44:00,912053,709513,"25.112",99,30,0,100,10240
2020/01/23,12:45:00,911958,708230,"25.283",99,30,0,100,9787
2020/01/23,12:46:00,912038,706591,"25.523",99,30,0,100,13796
2020/01/23,12:47:00,912004,705714,"25.643",99,30,0,100,6912
2020/01/23,12:48:00,912027,705055,"25.739",99,30,0,100,5505
2020/01/23,12:49:00,911921,704279,"25.838",99,30,0,100,5651
2020/01/23,12:50:00,911944,703285,"25.982",99,30,0,100,8248
2020/01/23,12:51:00,912015,701486,"26.246",99,30,0,100,15142
2020/01/23,12:52:00,911961,698633,"26.647",99,30,0,100,23042
2020/01/23,12:53:00,911928,697333,"26.830",99,30,0,100,10478
2020/01/23,12:54:00,911949,696777,"26.912",99,30,0,100,4708
2020/01/23,12:55:00,911966,696075,"27.015",99,30,0,100,5890
2020/01/23,12:56:00,911861,693842,"27.324",99,30,0,100,17774
2020/01/23,12:57:00,911928,692134,"27.578",99,30,0,100,14562
2020/01/23,12:58:00,911887,690995,"27.738",99,30,0,100,9191
2020/01/23,12:59:00,911879,689583,"27.942",99,30,0,100,11686
2020/01/23,13:00:00,911908,688745,"28.067",99,30,0,100,7159
2020/01/23,13:01:00,911818,687573,"28.227",99,30,0,100,9205
2020/01/23,13:02:00,911904,686733,"28.359",99,30,0,100,7555
2020/01/23,13:03:00,911709,685641,"28.497",99,30,0,100,7903
2020/01/23,13:04:00,911741,684913,"28.606",99,30,0,100,6296
2020/01/23,13:05:00,911733,684165,"28.715",99,30,0,100,6219
2020/01/23,13:06:00,911824,683451,"28.829",99,30,0,100,6563
2020/01/23,13:07:00,911679,682496,"28.953",99,30,0,100,7110
2020/01/23,13:08:00,911682,681752,"29.063",99,30,0,100,6277
2020/01/23,13:09:00,911834,681269,"29.150",99,30,0,100,5023
2020/01/23,13:10:00,911929,680611,"29.257",99,30,0,100,6142
2020/01/23,13:11:00,911818,679969,"29.339",99,30,0,100,4716
2020/01/23,13:12:00,911796,679284,"29.438",99,30,0,100,5644
2020/01/23,13:13:00,911761,678810,"29.504",99,30,0,100,3785
2020/01/23,13:14:00,911781,678104,"29.610",99,30,0,100,6096
2020/01/23,13:15:00,911680,677484,"29.690",99,30,0,100,4613
2020/01/23,13:16:00,911624,675884,"29.921",99,30,0,100,13213
2020/01/23,13:17:00,911685,674706,"30.102",99,30,0,100,10392
2020/01/23,13:18:00,911633,673943,"30.209",99,30,0,100,6165
2020/01/23,13:19:00,911596,673023,"30.342",99,30,0,100,7605
2020/01/23,13:20:00,911596,671791,"30.525",99,30,0,100,10512
2020/01/23,13:21:00,911708,671425,"30.592",99,30,0,100,3832
2020/01/23,13:22:00,911574,670815,"30.668",99,30,0,100,4372
2020/01/23,13:23:00,911547,670091,"30.773",99,30,0,100,6026
2020/01/23,13:24:00,911541,669363,"30.881",99,30,0,100,6199
2020/01/23,13:25:00,911620,667860,"31.114",99,30,0,100,13395
2020/01/23,13:26:00,911518,666097,"31.368",99,30,0,100,14523
2020/01/23,13:27:00,911549,663614,"31.744",99,30,0,100,21622
2020/01/23,13:28:00,911515,661599,"32.045",99,30,0,100,17233
2020/01/23,13:29:00,911524,659923,"32.299",99,30,0,100,14609
2020/01/23,13:30:00,911556,658971,"32.447",99,30,0,100,8484
2020/01/23,13:31:00,911551,658204,"32.563",99,30,0,100,6650
2020/01/23,13:32:00,911474,655867,"32.911",99,30,0,100,19923
2020/01/23,13:33:00,911501,654472,"33.126",99,30,0,100,12386
2020/01/23,13:34:00,911434,653494,"33.269",99,30,0,100,8158
2020/01/23,13:35:00,911429,652241,"33.460",99,30,0,100,10980
2020/01/23,13:36:00,911526,650651,"33.715",99,30,0,100,14614
2020/01/23,13:37:00,911502,649834,"33.838",99,30,0,100,7058
2020/01/23,13:38:00,911300,648893,"33.960",99,30,0,100,7042
2020/01/23,13:39:00,911520,648265,"34.081",99,31,0,100,6940
2020/01/23,13:40:00,911524,647628,"34.180",99,31,0,100,5666
2020/01/23,13:41:00,911438,646807,"34.298",99,31,0,100,6737
2020/01/23,13:42:00,911402,645441,"34.505",99,31,0,100,11903
2020/01/23,13:43:00,911385,644735,"34.613",99,31,0,100,6172
2020/01/23,13:44:00,911296,644100,"34.701",99,31,0,100,5093
2020/01/23,13:45:00,911221,643044,"34.857",99,31,0,100,8942
2020/01/23,13:46:00,911220,642216,"34.986",99,31,0,100,7386
2020/01/23,13:47:00,911192,641029,"35.168",99,31,0,100,10438
2020/01/23,13:48:00,911183,639534,"35.400",99,31,0,100,13340
2020/01/23,13:49:00,911238,638532,"35.563",99,31,0,100,9342
2020/01/23,13:50:00,911206,637738,"35.684",99,31,0,100,6937
2020/01/23,13:51:00,911210,637148,"35.777",100,31,0,100,5282
2020/01/23,13:52:00,911175,636390,"35.892",99,31,0,100,6609
2020/01/23,13:53:00,911103,635684,"35.995",99,31,0,100,5915
2020/01/23,13:54:00,911080,634871,"36.121",99,31,0,100,7198
2020/01/23,13:55:00,911059,634258,"36.215",99,31,0,100,5410
2020/01/23,13:56:00,911037,633538,"36.326",99,31,0,100,6378
2020/01/23,13:57:00,910922,632882,"36.417",99,31,0,100,5220
2020/01/23,13:58:00,910898,632389,"36.493",99,31,0,100,4320
2020/01/23,13:59:00,910828,631928,"36.558",99,31,0,100,3743
2020/01/23,14:00:00,910863,631525,"36.625",99,31,0,100,3881
2020/01/23,14:01:00,910849,630768,"36.744",99,31,0,100,6793
2020/01/23,14:02:00,910875,630146,"36.845",99,31,0,100,5824
2020/01/23,14:03:00,910754,629539,"36.929",99,31,0,100,4767
2020/01/23,14:04:00,910749,629109,"36.996",99,32,0,100,3889
2020/01/23,14:05:00,910644,628619,"37.063",99,32,0,100,3809
2020/01/23,14:06:00,910624,628102,"37.143",99,32,0,100,4595
2020/01/23,14:07:00,910488,627581,"37.211",99,32,0,100,3904
2020/01/23,14:08:00,910596,627316,"37.265",99,32,0,100,3104
2020/01/23,14:09:00,910471,626843,"37.327",99,32,0,100,3540
2020/01/23,14:10:00,910354,626373,"37.389",99,32,0,100,3566
2020/01/23,14:11:00,910377,625973,"37.455",99,32,0,100,3810
2020/01/23,14:12:00,910538,625360,"37.571",99,32,0,100,6636
2020/01/23,14:13:00,910401,624871,"37.634",99,32,0,100,3625
2020/01/23,14:14:00,910414,622614,"37.997",99,32,0,100,20843
2020/01/23,14:15:00,910327,621356,"38.190",99,32,0,100,11056
2020/01/23,14:16:00,910357,620450,"38.339",99,32,0,100,8561
2020/01/23,14:17:00,910273,619796,"38.435",99,32,0,100,5521
2020/01/23,14:18:00,910274,619202,"38.531",99,32,0,100,5508
2020/01/23,14:19:00,910192,618538,"38.630",99,32,0,100,5639
2020/01/23,14:20:00,910137,618031,"38.706",99,32,0,100,4358
2020/01/23,14:21:00,910133,617385,"38.810",99,32,0,100,5975
2020/01/23,14:22:00,910083,616888,"38.885",99,32,0,100,4305
2020/01/23,14:23:00,910067,616336,"38.973",99,32,0,100,5035
2020/01/23,14:24:00,910175,615758,"39.078",99,32,0,100,6064
2020/01/23,14:25:00,910073,615122,"39.170",99,32,0,100,5286
2020/01/23,14:26:00,910146,614085,"39.347",99,32,0,100,10141
2020/01/23,14:27:00,910060,613174,"39.486",99,32,0,100,7976
2020/01/23,14:28:00,910007,612645,"39.567",99,32,0,100,4618
2020/01/23,14:29:00,909985,611518,"39.748",99,32,0,100,10425
2020/01/23,14:30:00,909939,610907,"39.843",99,32,0,100,5445
2020/01/23,14:31:00,909938,610401,"39.926",99,32,0,100,4748
2020/01/23,14:32:00,909923,609976,"39.994",99,33,0,100,3902
2020/01/23,14:33:00,909840,608946,"40.154",99,33,0,100,9173
2020/01/23,14:34:00,909918,606881,"40.502",99,33,0,100,19981
2020/01/23,14:35:00,909894,605904,"40.661",99,33,0,100,9093
2020/01/23,14:36:00,909795,604993,"40.800",99,33,0,100,8009
2020/01/23,14:37:00,909848,604372,"40.909",99,33,0,100,6226
2020/01/23,14:38:00,909685,603676,"41.006",99,33,0,100,5583
2020/01/23,14:39:00,909767,602596,"41.194",99,33,0,100,10791
2020/01/23,14:40:00,909721,601387,"41.390",99,33,0,100,11232
2020/01/23,14:41:00,909780,600824,"41.490",99,33,0,100,5746
2020/01/23,14:42:00,909794,599750,"41.671",99,33,0,100,10353
2020/01/23,14:43:00,909831,599134,"41.777",99,33,0,100,6129
2020/01/23,14:44:00,909784,598556,"41.869",99,33,0,100,5241
2020/01/23,14:45:00,909704,598048,"41.945",99,33,0,100,4367
2020/01/23,14:46:00,909654,597444,"42.040",99,33,0,100,5482
2020/01/23,14:47:00,909758,596878,"42.147",99,33,0,100,6094
2020/01/23,14:48:00,909581,596143,"42.250",99,33,0,100,5953
2020/01/23,14:49:00,909610,595627,"42.340",99,33,0,100,5151
2020/01/23,14:50:00,909602,595136,"42.422",99,33,0,100,4681
2020/01/23,14:51:00,909601,594659,"42.502",99,33,0,100,4594
2020/01/23,14:52:00,909522,594188,"42.572",99,33,0,100,4048
2020/01/23,14:53:00,909644,593574,"42.689",99,33,0,100,6701
2020/01/23,14:54:00,909569,592642,"42.838",99,33,0,100,8543
2020/01/23,14:55:00,909581,591485,"43.035",99,33,0,100,11288
2020/01/23,14:56:00,909526,589987,"43.282",99,33,0,100,14202
2020/01/23,14:57:00,909518,589346,"43.390",99,33,0,100,6186
2020/01/23,14:58:00,909522,588563,"43.524",99,33,0,100,7653
2020/01/23,14:59:00,909457,586954,"43.790",99,33,0,100,15296
2020/01/23,15:00:00,909355,586331,"43.885",99,33,0,100,5449
